gob_offset,flag,uncomp_size,crc32,name,path,method
0x8ef000,122,4272,0xf29e21fe,.\ps2\audio\kartwood.vag,gfc_extracted\./ps2/audio/kartwood.vag,crc
0x8f0000,122,10736,0xec248391,.\ps2\audio\krtgravl.vag,gfc_extracted\./ps2/audio/krtgravl.vag,crc
0x8f2800,122,11920,0x6b7f2548,.\ps2\audio\krtice.vag,gfc_extracted\./ps2/audio/krtice.vag,crc
0x8f5000,122,6944,0xde019285,.\ps2\audio\krtmud1.vag,gfc_extracted\./ps2/audio/krtmud1.vag,crc
0x8f6800,122,14160,0x56eb0094,.\ps2\audio\krtsand.vag,gfc_extracted\./ps2/audio/krtsand.vag,crc
0x8f9800,122,12400,0xd2e78512,.\ps2\audio\krtscrp2.vag,gfc_extracted\./ps2/audio/krtscrp2.vag,crc
0x8fc000,122,9216,0x770b425b,.\ps2\audio\krtwater.vag,gfc_extracted\./ps2/audio/krtwater.vag,crc
0x8fe000,122,12976,0x8e4a4c93,.\ps2\audio\kukubig.vag,gfc_extracted\./ps2/audio/kukubig.vag,crc
0x901000,122,13744,0xbab62ba2,.\ps2\audio\kilpoint.vag,gfc_extracted\./ps2/audio/kilpoint.vag,crc
0x904000,122,65536,0x6e7b6f7a,,gfc_extracted\block_00617\block_00617.bin,content
0x911000,122,16720,0xd5bc613c,,gfc_extracted\block_00618\block_00618.bin,content
0x914800,122,5280,0x7dfefc32,.\ps2\audio\akuout.vag,gfc_extracted\./ps2/audio/akuout.vag,crc
0x916000,122,2016,0x94d650d,.\ps2\audio\cratdrp1.vag,gfc_extracted\./ps2/audio/cratdrp1.vag,crc
0x916800,122,3408,0xee772b50,.\ps2\audio\cratland.vag,gfc_extracted\./ps2/audio/cratland.vag,crc
0x917800,122,5408,0xbe9ebec9,.\ps2\audio\cratsmsh.vag,gfc_extracted\./ps2/audio/cratsmsh.vag,crc
0x919000,122,2256,0x1ea74985,.\ps2\audio\misxpl3.vag,gfc_extracted\./ps2/audio/misxpl3.vag,crc
0x919800,122,1696,0x65394fa2,.\ps2\audio\shokend.vag,gfc_extracted\./ps2/audio/shokend.vag,crc
0x91a000,122,8880,0x300bc1e5,.\ps2\audio\dingol1.vag,gfc_extracted\./ps2/audio/dingol1.vag,crc
0x91c000,122,11280,0xfe71d8b6,.\ps2\audio\vovolume.vag,gfc_extracted\./ps2/audio/vovolume.vag,crc
0x91e800,122,11952,0x58c93458,.\ps2\audio\minetoss.vag,gfc_extracted\./ps2/audio/minetoss.vag,crc
0x921000,122,5600,0x9a14efa2,.\ps2\audio\itemhud.vag,gfc_extracted\./ps2/audio/itemhud.vag,crc
0x922800,122,17888,0xa94eb53f,.\ps2\audio\invstrig.vag,gfc_extracted\./ps2/audio/invstrig.vag,crc
0x926800,122,9440,0x13b0bde3,.\ps2\audio\invsxhst.vag,gfc_extracted\./ps2/audio/invsxhst.vag,crc
0x928800,122,5088,0x99e3fe09,.\ps2\audio\shldloop.vag,gfc_extracted\./ps2/audio/shldloop.vag,crc
0x92a000,122,12976,0xc988977c,.\ps2\audio\shldtrig.vag,gfc_extracted\./ps2/audio/shldtrig.vag,crc
0x92d000,122,5840,0x97c51fa9,.\ps2\audio\shokbeep.vag,gfc_extracted\./ps2/audio/shokbeep.vag,crc
0x92e800,122,5792,0x3648a1cc,.\ps2\audio\shokhit.vag,gfc_extracted\./ps2/audio/shokhit.vag,crc
0x930000,122,12336,0x3c1c93f,.\ps2\audio\shoktoss.vag,gfc_extracted\./ps2/audio/shoktoss.vag,crc
0x932800,122,5392,0x69bbd749,.\ps2\audio\tclktrig.vag,gfc_extracted\./ps2/audio/tclktrig.vag,crc
0x934000,122,65536,0xe22b5025,,gfc_extracted\block_00637\block_00637.bin,content
0x940800,122,16720,0x6ebb832f,,gfc_extracted\block_00638\block_00638.bin,content
0x944000,122,7280,0x9b3ee1f8,.\ps2\audio\underwtr.vag,gfc_extracted\./ps2/audio/underwtr.vag,crc
0x945800,122,65536,0x7ba8adc3,,gfc_extracted\block_00640\block_00640.bin,content
0x952000,122,16720,0xf08e249d,,gfc_extracted\block_00641\block_00641.bin,content
