address,raw_name,symbol,module,body_bytes,callees_real,callees_stub,callers,globals,cop2,loops,branches,float_ops,leaf_hint,leaf_detail,score
0x001ccb00,FUN_001ccb00,,core/struct,308,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",6.16
0x001cf680,FUN_001cf680,,core/struct,274,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",5.48
0x001cf6f0,FUN_001cf6f0,,,274,0,0,0,0,0,0,0,0,convert,cast/float math,5.48
0x001dbea0,FUN_001dbea0,,core/struct,308,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",6.16
0x001df840,FUN_001df840,,core/struct,308,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",6.16
0x001dfdb0,FUN_001dfdb0,,core/struct,308,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",6.16
0x001e0050,FUN_001e0050,,core/struct,308,0,0,0,0,0,0,0,0,setter,"4 field writes, returns",6.16
0x001ebea0,FUN_001ebea0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x001f4e00,FUN_001f4e00,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x0022ade0,FUN_0022ade0,layout_viewport,ui/layout,4004,0,0,0,0,0,0,22,76,,,156.0
0x0022d1a0,FUN_0022d1a0,layout_viewport_b,ui/layout,3280,0,0,0,0,0,0,19,55,,,120.6
0x002304a0,FUN_002304a0,layout_viewport_c,ui/layout,3267,0,0,0,0,0,0,19,55,,,120.34
0x002366c0,FUN_002366c0,,,244,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.88
0x00237bb0,FUN_00237bb0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0023e070,FUN_0023e070,,,111,0,0,0,0,0,0,0,0,convert,cast/float math,2.22
0x00240040,FUN_00240040,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00241210,FUN_00241210,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00241380,FUN_00241380,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x002414c0,FUN_002414c0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x002467a0,FUN_002467a0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x002470e0,FUN_002470e0,,,246,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.92
0x0026d960,FUN_0026d960,type4cc_check,engine/objects,457,0,0,0,1,0,0,2,0,,,11.64
0x0026e060,FUN_0026e060,type4cc_check_b,engine/objects,473,0,0,0,1,0,0,2,0,,,11.96
0x0026e1a0,FUN_0026e1a0,type4cc_check_c,engine/objects,473,0,0,0,1,0,0,2,0,,,11.96
0x0026e2e0,FUN_0026e2e0,type4cc_check_d,engine/objects,473,0,0,0,1,0,0,2,0,,,11.96
0x0026e420,FUN_0026e420,type4cc_check_e,engine/objects,473,0,0,0,1,0,0,2,0,,,11.96
0x0028b3f0,FUN_0028b3f0,,,446,0,0,0,0,0,0,3,0,memcmp,"compares two structs, returns int",8.92
0x002b5bf0,FUN_002b5bf0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x002c33d0,FUN_002c33d0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x002c48f0,FUN_002c48f0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x002e7870,FUN_002e7870,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0031c990,FUN_0031c990,,,298,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,5.96
0x003342e0,FUN_003342e0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x00337690,FUN_00337690,,,57,0,1,0,0,0,0,0,0,thunk,wraps FUN_00380e80,2.14
0x00337e10,FUN_00337e10,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0033a050,FUN_0033a050,,,210,0,0,0,0,1,0,0,0,other,simd/vu0,7.2
0x0033b860,FUN_0033b860,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0033c170,FUN_0033c170,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x003472f0,FUN_003472f0,transform_point_vu0_b,math/matrix,524,0,0,0,0,7,0,0,0,,,31.48
0x0034bb20,FUN_0034bb20,,,346,0,0,0,0,3,0,0,0,other,simd/vu0,15.92
0x0035bc40,FUN_0035bc40,transform_point_vu0,math/matrix,605,0,0,0,0,9,0,0,0,,,39.1
0x0035c3f0,FUN_0035c3f0,transform_point_vu0_c,math/matrix,524,0,0,0,0,7,0,0,0,,,31.48
0x00363b70,FUN_00363b70,,,56,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,1.12
0x00365450,FUN_00365450,,,264,0,0,0,0,2,0,0,0,other,simd/vu0,11.28
0x00365d80,FUN_00365d80,aabb_corners_vu0,math/vu0,2539,0,0,0,0,9,1,3,0,,,79.28
0x0036d630,FUN_0036d630,,,346,0,0,0,0,3,0,0,0,other,simd/vu0,15.92
0x00377190,FUN_00377190,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x003803c0,FUN_003803c0,interval_check,core/containers,771,0,0,0,0,0,0,4,0,,,15.42
0x00380560,FUN_00380560,interval_check_b,core/containers,771,0,0,0,0,0,0,4,0,,,15.42
0x00381030,FUN_00381030,matrix_invert_vu0,math/matrix,1768,0,0,0,0,35,0,4,0,,,140.36
0x00394050,FUN_00394050,transform_point_vu0_d,math/matrix,524,0,0,0,0,7,0,0,0,,,31.48
0x003955c0,FUN_003955c0,transform_point_vu0_e,math/matrix,664,0,0,0,0,9,0,0,0,,,40.28
0x003994a0,FUN_003994a0,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x0039eb60,FUN_0039eb60,,,142,0,0,0,0,0,0,0,0,pseudo_stub,"body is halt_* only, no recovered logic",2.84
0x003a0730,FUN_003a0730,gaussjordan_solve,math/matrix,3568,0,0,0,0,0,13,2,20,,,110.86
0x003a09f0,FUN_003a09f0,gaussjordan_solve_b,math/matrix,3545,0,0,0,0,0,13,2,20,,,110.4
0x003ae0e0,FUN_003ae0e0,spline_accum,math/spline,1261,0,0,0,0,0,0,1,14,,,39.22
0x003bff30,FUN_003bff30,,,243,0,0,0,0,0,0,0,0,struct_op,field assignment/read mix,4.86
