address,hub,direction,distance,peer
0x001188c0,,-,1000000000,0
0x001188d0,0x00511940,upstream,1,0
0x00118940,,-,1000000000,0
0x00118950,,-,1000000000,0
0x00118960,,-,1000000000,0
0x00118970,,-,1000000000,0
0x00118980,,-,1000000000,0
0x001189b0,,-,1000000000,0
0x001189c0,,-,1000000000,0
0x00118aa0,,-,1000000000,0
0x00118bb0,0x00511940,upstream,1,0
0x00118c30,0x00511940,upstream,1,0
0x00118cc0,0x00511940,upstream,1,0
0x00118d40,0x00511940,upstream,1,0
0x00118de0,,-,1000000000,0
0x00118e60,,-,1000000000,0
0x00118e80,0x00512ee0,upstream,2,0
0x00119000,0x00512ee0,upstream,1,0
0x00119200,0x00511940,upstream,1,0
0x001193e0,,-,1000000000,0
0x001194f0,,-,1000000000,0
0x00119590,0x00511940,upstream,1,0
0x00119610,0x00511940,upstream,1,0
0x00119690,0x00511940,upstream,1,0
0x001197b0,,-,1000000000,0
0x001197e0,,-,1000000000,0
0x00119830,,-,1000000000,0
0x00119950,,-,1000000000,0
0x00119b30,,-,1000000000,0
0x00119b40,,-,1000000000,0
0x00119d90,,-,1000000000,0
0x00119f10,,-,1000000000,0
0x0011a050,,-,1000000000,0
0x0011a060,,-,1000000000,0
0x0011a400,,-,1000000000,0
0x0011a450,0x00512ee0,upstream,1,0
0x0011a740,0x00511940,upstream,1,0
0x0011a7c0,0x00511940,upstream,1,0
0x0011a8b0,0x00428df8,upstream,2,0
0x0011a8e0,0x00428df8,upstream,2,0
0x0011a990,0x0033c1b0,upstream,2,0
0x0011ab00,,-,1000000000,0
0x0011ab60,0x004ba240,upstream,1,0
0x0011ac20,0x00511940,upstream,2,0
0x0011ad50,0x005c0d40,upstream,4,0
0x0011add0,,-,1000000000,0
0x0011ae50,,-,1000000000,0
0x0011aec0,,-,1000000000,0
0x0011af10,,-,1000000000,0
0x0011b030,,-,1000000000,0
0x0011b0e0,,-,1000000000,0
0x0011b240,,-,1000000000,0
0x0011b260,,-,1000000000,0
0x0011b270,0x0033c3b0,upstream,2,0
0x0011b450,0x0011b5d0,upstream,1,0
0x0011b4b0,,-,1000000000,0
0x0011b5d0,0x0011b5d0,upstream,0,1
0x0011b5f0,,-,1000000000,0
0x0011b660,,-,1000000000,0
0x0011b770,0x004ba240,upstream,1,0
0x0011b7e0,,-,1000000000,0
0x0011b7f0,,-,1000000000,0
0x0011b8b0,,-,1000000000,0
0x0011b8c0,0x00511940,upstream,1,0
0x0011b990,0x00429068,upstream,2,0
0x0011b9e0,0x00429068,upstream,2,0
0x0011ba30,0x00429068,upstream,1,0
0x0011bb20,0x00512ee0,upstream,2,0
0x0011bb50,0x00512ee0,upstream,1,0
0x0011bd20,0x005c0d40,upstream,1,0
0x0011bf00,0x00512ee0,upstream,2,0
0x0011bf30,0x00512ee0,upstream,1,0
0x0011c070,0x0033c1b0,upstream,1,0
0x0011c0c0,,-,1000000000,0
0x0011c0f0,0x00345a10,upstream,2,0
0x0011c1d0,0x0033c3b0,upstream,1,0
0x0011c240,,-,1000000000,0
0x0011c260,,-,1000000000,0
0x0011c300,0x00429068,upstream,1,0
0x0011c380,0x00429068,upstream,1,0
0x0011c400,,-,1000000000,0
0x0011c530,,-,1000000000,0
0x0011c540,,-,1000000000,0
0x0011c580,,-,1000000000,0
0x0011c590,,-,1000000000,0
0x0011c5b0,,-,1000000000,0
0x0011c5f0,,-,1000000000,0
0x0011c610,,-,1000000000,0
0x0011c620,,-,1000000000,0
0x0011c780,0x0033c1b0,upstream,1,0
0x0011c7e0,,-,1000000000,0
0x0011c810,,-,1000000000,0
0x0011c870,0x0033c3b0,upstream,1,0
0x0011c8e0,0x00429068,upstream,2,0
0x0011c9a0,0x00429068,upstream,2,0
0x0011ca80,0x004ba240,upstream,1,0
0x0011cb20,,-,1000000000,0
0x0011cb30,0x0058a7a0,upstream,2,0
0x0011cd20,0x00512ee0,upstream,2,0
0x0011cda0,,-,1000000000,0
0x0011ce10,,-,1000000000,0
0x0011cea0,0x0058a7a0,upstream,4,0
0x0011d030,,-,1000000000,0
0x0011d040,,-,1000000000,0
0x0011d0e0,0x0026d230,upstream,2,0
0x0011d150,0x004ba240,upstream,1,0
0x0011d1a0,0x0026d230,upstream,1,0
0x0011d310,0x004ba240,upstream,1,0
0x0011d370,,-,1000000000,0
0x0011d3b0,,-,1000000000,0
0x0011d400,0x004ba240,upstream,1,0
0x0011d4e0,0x0023c590,upstream,1,0
0x0011d8d0,,-,1000000000,0
0x0011d970,0x004ba240,upstream,1,0
0x0011d9d0,,-,1000000000,0
0x0011da00,0x004ba240,upstream,1,0
0x0011da50,0x004ba240,upstream,1,0
0x0011dab0,0x0043b320,upstream,4,0
0x0011dd00,0x0026d230,upstream,1,0
0x0011e730,0x004ba240,upstream,1,0
0x0011e790,,-,1000000000,0
0x0011e840,0x001071e0,upstream,1,0
0x0011eac0,0x004ba240,upstream,1,0
0x0011ec80,,-,1000000000,0
0x0011ec90,,-,1000000000,0
0x0011ed30,,-,1000000000,0
0x0011f1a0,,-,1000000000,0
0x0011f1e0,,-,1000000000,0
0x0011f1f0,,-,1000000000,0
0x0011f200,,-,1000000000,0
0x0011f210,,-,1000000000,0
0x0011f230,,-,1000000000,0
0x0011f270,,-,1000000000,0
0x0011f2a0,,-,1000000000,0
0x0011f2c0,0x0033c3b0,upstream,3,0
0x0011f670,0x0033c3b0,upstream,3,0
