address,name,module,status,in_deg,out_deg,degree,component,betweenness
0x004381e8,0x004381e8,,,1,0,1,17127,0.0000
0x004d4820,0x004d4820,,,3,0,3,17127,0.0000
0x005ca220,0x005ca220,,stub_code,0,5,5,17127,0.0000
0x0019e150,FUN_0019e150,game/tuning,real_c,1,0,1,17127,0.0000
0x00592c80,0x00592c80,,,2,0,2,17127,0.0000
0x005a6020,0x005a6020,,stub_code,0,1,1,2,0.0000
0x005e8910,0x005e8910,,stub_code,1,2,3,17127,0.0000
0x004c5cc0,0x004c5cc0,,,2,0,2,17127,0.0000
0x00474dd8,0x00474dd8,,stub_code,0,4,4,17127,0.0000
0x00426860,0x00426860,,stub_code,4,4,8,17127,0.0000
0x002d4240,0x002d4240,,stub_code,0,4,4,17127,0.0000
0x004a7ca0,0x004a7ca0,,stub_thunk,1,0,1,17127,0.0000
0x0013e490,0x0013e490,,stub_code,2,7,9,17127,0.0000
0x002a9010,0x002a9010,,stub_code,1,3,4,17127,0.0000
0x00417a80,0x00417a80,,,1,0,1,17127,0.0000
0x001ca330,0x001ca330,,stub_code,1,0,1,17127,0.0000
0x0036c8a0,0x0036c8a0,,,3,0,3,17127,0.0000
0x001049f0,0x001049f0,,,1,0,1,17127,0.0000
0x004ce350,0x004ce350,,stub_code,0,2,2,17127,0.0000
0x00289380,0x00289380,,,1,0,1,17127,0.0000
0x005b2dc0,0x005b2dc0,,stub_code,0,0,0,1,0.0000
0x002fe1f0,0x002fe1f0,,stub_code,0,1,1,17127,0.0000
0x00496d70,0x00496d70,,stub_code,1,1,2,3,0.0000
0x005db9d0,0x005db9d0,,stub_code,0,1,1,17127,0.0000
0x004327a0,FUN_004327a0,core/strings,real_c,1,0,1,17127,0.0000
0x004c98a0,0x004c98a0,,stub_code,0,1,1,17127,0.0000
0x0035b710,0x0035b710,,,1,0,1,17127,0.0000
0x005b64b0,0x005b64b0,,stub_code,0,1,1,17127,0.0000
0x005e8f30,0x005e8f30,,,1,0,1,2,0.0000
0x0027d7a0,0x0027d7a0,,stub_code,0,3,3,17127,0.0000
0x0018f100,0x0018f100,,stub_code,0,1,1,17127,0.0000
0x002d41c0,0x002d41c0,,stub_code,0,2,2,17127,0.0000
0x005db890,0x005db890,,stub_code,0,1,1,17127,0.0000
0x00535650,0x00535650,,,3,0,3,4,0.0000
0x002729a0,0x002729a0,,stub_code,0,1,1,17127,0.0000
0x00342da0,0x00342da0,,stub_code,0,3,3,17127,0.0000
0x001a8da0,0x001a8da0,,,1,0,1,2,0.0000
0x00131b20,0x00131b20,,stub_code,0,1,1,17127,0.0000
0x0015d5d0,0x0015d5d0,,stub_code,0,1,1,17127,0.0000
0x005f23b0,0x005f23b0,,,5,0,5,17127,0.0000
0x004e8b70,0x004e8b70,,stub_code,0,2,2,17127,0.0000
0x0055fa70,0x0055fa70,,,1,0,1,17127,0.0000
0x005d0670,0x005d0670,,stub_code,1,10,11,17127,0.0000
0x0038df70,0x0038df70,,stub_code,1,7,8,17127,0.0000
0x00583700,0x00583700,,,1,0,1,2,0.0000
0x001c54a0,0x001c54a0,,stub_code,0,3,3,17127,0.0000
0x001e76f0,0x001e76f0,,stub_code,7,1,8,17127,0.0000
0x005e91f0,0x005e91f0,,stub_code,0,1,1,2,0.0000
0x0052d6d0,0x0052d6d0,,stub_code,0,1,1,17127,0.0000
0x00197d50,0x00197d50,,stub_code,2,1,3,17127,0.0000
0x001fb2c0,0x001fb2c0,,stub_code,0,2,2,17127,0.0000
0x00456f10,0x00456f10,,stub_code,2,9,11,17127,25.8632
0x005b2150,0x005b2150,,stub_code,1,5,6,17127,0.0000
0x002be5c0,0x002be5c0,,stub_code,2,3,5,17127,0.0000
0x00271140,0x00271140,,stub_code,0,5,5,17127,0.0000
0x0056f8e0,0x0056f8e0,,,2,0,2,17127,0.0000
0x0035c440,0x0035c440,,stub_code,1,6,7,17127,0.0000
0x004eccf0,0x004eccf0,,stub_code,0,1,1,17127,0.0000
0x004f2a20,0x004f2a20,,stub_code,3,0,3,17127,0.0000
0x00303740,0x00303740,,stub_code,0,1,1,17127,0.0000
0x005824d0,0x005824d0,,stub_code,0,1,1,17127,0.0000
0x0047fe50,0x0047fe50,,stub_code,9,1,10,17127,0.0000
0x001a2e10,0x001a2e10,,stub_code,1,1,2,17127,0.0000
0x0049f8c0,0x0049f8c0,,stub_code,1,1,2,17127,0.0000
0x0013e9b0,0x0013e9b0,,stub_code,0,2,2,17127,0.0000
0x005ab300,0x005ab300,,stub_code,1,5,6,17127,0.0000
0x00324780,0x00324780,,stub_code,0,14,14,17127,0.0000
0x004aef78,0x004aef78,,,4,0,4,17127,0.0000
0x002ee780,0x002ee780,,,8,0,8,17127,0.0000
0x0055fb20,0x0055fb20,,,1,0,1,17127,0.0000
0x0010ff50,0x0010ff50,,stub_code,1,4,5,17127,0.0000
0x005359f0,0x005359f0,,stub_code,0,0,0,1,0.0000
0x0051dff0,0x0051dff0,,stub_code,1,2,3,17127,71.6667
0x004fcf30,0x004fcf30,,,1,0,1,17127,0.0000
0x001861e0,0x001861e0,,,3,0,3,17127,0.0000
0x00546440,0x00546440,,stub_code,0,1,1,17127,0.0000
0x004eef80,0x004eef80,,stub_code,1,1,2,17127,0.0000
0x002af270,0x002af270,,stub_code,1,1,2,17127,0.0000
0x002e3380,0x002e3380,,stub_code,0,1,1,17127,0.0000
0x0027fef0,0x0027fef0,,stub_code,0,4,4,17127,0.0000
0x004752d0,0x004752d0,,stub_code,0,1,1,17127,0.0000
0x00307470,0x00307470,,stub_code,0,7,7,17127,0.0000
0x001a50d0,0x001a50d0,,stub_code,0,1,1,17127,0.0000
0x002f58c0,0x002f58c0,,stub_code,0,8,8,17127,0.0000
0x00523210,0x00523210,,stub_code,0,2,2,17127,0.0000
0x001c2820,0x001c2820,,,1,0,1,17127,0.0000
0x002b8670,0x002b8670,,,1,0,1,17127,0.0000
0x00530600,0x00530600,,stub_code,1,1,2,17127,0.0000
0x00552230,0x00552230,,stub_code,0,4,4,17127,0.0000
0x003190a0,0x003190a0,,stub_code,1,2,3,17127,0.0000
0x004e8bb0,0x004e8bb0,,stub_code,0,4,4,17127,0.0000
0x004c6f50,0x004c6f50,,stub_code,1,2,3,17127,0.0000
0x002c58b0,0x002c58b0,,stub_code,2,1,3,17127,0.0000
0x0046bbc8,FUN_0046bbc8,,pseudo_stub,1,1,2,17127,0.0000
0x005205d0,0x005205d0,,stub_code,1,1,2,17127,0.0000
0x004c27c0,0x004c27c0,,stub_code,0,4,4,17127,0.0000
0x00345a70,0x00345a70,,stub_code,8,2,10,17127,0.0000
0x004d4f30,0x004d4f30,,stub_code,2,1,3,17127,0.0000
0x0025cce0,0x0025cce0,,stub_code,0,1,1,17127,0.0000
0x001ff430,0x001ff430,,stub_code,1,4,5,17127,0.0000
0x00497a10,0x00497a10,,stub_code,1,2,3,17127,0.0000
0x00207510,0x00207510,,stub_code,2,2,4,17127,0.0000
0x00464e88,0x00464e88,,stub_code,15,2,17,17127,4.0000
0x005f6540,0x005f6540,,stub_code,0,1,1,17127,0.0000
0x004481e0,0x004481e0,,stub_code,1,2,3,17127,0.0000
0x00297080,0x00297080,,stub_code,17,3,20,17127,30.5000
0x004bd9d0,0x004bd9d0,,stub_code,0,6,6,17127,0.0000
0x001a8890,0x001a8890,,stub_code,1,2,3,17127,0.0000
0x005fd4b0,0x005fd4b0,,stub_code,0,0,0,1,0.0000
0x0055dad0,0x0055dad0,,stub_code,0,2,2,17127,0.0000
0x005993e0,0x005993e0,,,1,0,1,2,0.0000
0x0056c8f0,0x0056c8f0,,stub_code,0,2,2,17127,0.0000
0x00578aa0,0x00578aa0,,,1,0,1,17127,0.0000
0x00390770,0x00390770,,,1,0,1,17127,0.0000
0x002b07f0,0x002b07f0,,,1,0,1,17127,0.0000
0x003efc30,FUN_003efc30,,real_logic,1,0,1,17127,0.0000
0x001d45b0,0x001d45b0,,stub_code,1,2,3,17127,0.0000
0x004a13c0,0x004a13c0,,stub_code,1,3,4,17127,0.0000
0x0041c7d0,0x0041c7d0,,,2,0,2,17127,0.0000
0x003adaf0,0x003adaf0,,stub_code,23,1,24,17127,0.0000
0x004aad40,0x004aad40,,stub_code,1,1,2,17127,0.0000
0x002d2880,0x002d2880,,stub_code,1,13,14,17127,1474.7333
0x004ec0b0,0x004ec0b0,,stub_code,0,3,3,17127,0.0000
0x00440ac8,0x00440ac8,,stub_code,1,1,2,17127,0.0000
0x00583ad0,0x00583ad0,,stub_code,0,1,1,17127,0.0000
0x0024ed10,0x0024ed10,,stub_code,3,3,6,17127,0.0000
0x00200760,0x00200760,,stub_code,7,2,9,17127,2.0000
0x003df150,0x003df150,,stub_code,2,6,8,17127,0.0000
0x005aefe0,0x005aefe0,,stub_code,2,6,8,17127,0.0000
0x00565830,0x00565830,,stub_code,1,3,4,17127,0.0000
0x003fd320,FUN_003fd320,,pseudo_stub,1,1,2,17127,0.0000
0x005f1ec0,0x005f1ec0,,stub_code,0,1,1,17127,0.0000
0x002fa650,0x002fa650,,stub_code,0,4,4,17127,0.0000
0x004e9c20,0x004e9c20,,stub_code,1,1,2,17127,0.0000
0x00290220,0x00290220,,stub_code,0,8,8,17127,0.0000
0x005dbc90,0x005dbc90,,stub_code,1,2,3,17127,0.0000
0x00128af0,0x00128af0,,stub_code,1,0,1,17127,0.0000
0x00597030,0x00597030,,,1,0,1,2,0.0000
0x004aeb18,0x004aeb18,,stub_code,1,1,2,17127,0.0000
0x0028c960,0x0028c960,,stub_code,1,2,3,17127,0.0000
0x00499168,0x00499168,,stub_code,2,13,15,17127,0.0000
0x0030fa50,0x0030fa50,,,2,0,2,17127,0.0000
0x0055c370,0x0055c370,,stub_code,0,1,1,17127,0.0000
0x004d3da0,0x004d3da0,,stub_code,0,1,1,17127,0.0000
0x00271960,0x00271960,,stub_code,0,3,3,17127,0.0000
0x0025f7a0,0x0025f7a0,,stub_code,0,5,5,17127,0.0000
0x00254260,0x00254260,,stub_code,0,1,1,17127,0.0000
0x00363910,0x00363910,,stub_code,1,4,5,17127,0.0000
0x0043ca20,0x0043ca20,,,1,0,1,17127,0.0000
0x001abf20,0x001abf20,,stub_code,0,0,0,1,0.0000
0x002f9630,0x002f9630,,stub_code,0,1,1,17127,0.0000
0x001b8b60,0x001b8b60,,stub_code,1,0,1,17127,0.0000
0x005a0610,0x005a0610,,stub_code,0,1,1,2,0.0000
0x005f3770,0x005f3770,,stub_code,0,1,1,2,0.0000
0x004a8b18,0x004a8b18,,stub_code,1,2,3,17127,0.0000
0x001dfeb0,0x001dfeb0,,stub_code,1,2,3,17127,0.0000
0x004ca210,0x004ca210,,stub_code,0,3,3,17127,0.0000
0x001c5340,0x001c5340,,stub_code,0,0,0,1,0.0000
0x00150700,0x00150700,,,3,0,3,17127,0.0000
0x0010fb90,0x0010fb90,,stub_code,0,7,7,17127,0.0000
0x004b1a98,0x004b1a98,,stub_code,0,1,1,17127,0.0000
0x002f4920,0x002f4920,,stub_code,0,1,1,17127,0.0000
0x001ef820,0x001ef820,,stub_code,0,0,0,1,0.0000
0x003b7250,0x003b7250,,stub_code,1,1,2,17127,0.0000
0x0011dcb0,0x0011dcb0,,stub_code,0,0,0,1,0.0000
0x00564cc0,0x00564cc0,,stub_code,1,5,6,17127,0.0000
0x003de110,0x003de110,,stub_code,2,4,6,17127,86.8333
0x00501c70,0x00501c70,,stub_code,0,1,1,17127,0.0000
0x0058a120,0x0058a120,,,2,0,2,17127,0.0000
0x0018e480,0x0018e480,,stub_code,0,1,1,17127,0.0000
0x005a0d20,0x005a0d20,,stub_code,0,4,4,17127,0.0000
0x00315430,0x00315430,,stub_code,0,2,2,17127,0.0000
0x002f66c0,0x002f66c0,,stub_code,0,2,2,3,0.0000
0x005ec7d0,0x005ec7d0,,stub_code,0,9,9,17127,0.0000
0x005900e0,0x005900e0,,stub_code,0,11,11,17127,0.0000
0x00151d40,0x00151d40,,stub_code,1,3,4,17127,0.0000
0x0050e960,0x0050e960,,stub_code,4,0,4,17127,0.0000
0x0043ca10,0x0043ca10,,,10,0,10,17127,0.0000
0x00129990,0x00129990,,,1,0,1,17127,0.0000
0x004f7eb0,0x004f7eb0,,stub_code,5,2,7,17127,9.0000
0x0034dc40,0x0034dc40,,stub_code,1,2,3,17127,0.0000
0x00185910,0x00185910,,,1,0,1,17127,0.0000
0x002d5370,0x002d5370,,stub_code,0,1,1,17127,0.0000
0x0022b800,0x0022b800,,stub_code,1,1,2,17127,0.0000
0x00125400,0x00125400,,stub_code,0,1,1,17127,0.0000
0x003687a0,0x003687a0,,stub_code,8,3,11,17127,0.0000
0x002316e0,0x002316e0,,,1,0,1,17127,0.0000
0x00498ff8,0x00498ff8,,stub_code,1,1,2,17127,0.0000
0x001c9540,0x001c9540,,stub_code,0,1,1,9,0.0000
0x00472880,0x00472880,,,1,0,1,17127,0.0000
0x0054e970,0x0054e970,,,2,0,2,17127,0.0000
0x0046d068,0x0046d068,,stub_code,0,3,3,17127,0.0000
0x001fb320,0x001fb320,,stub_code,0,0,0,1,0.0000
0x001ac150,0x001ac150,,stub_code,2,2,4,17127,0.0000
0x00123980,0x00123980,,,1,0,1,17127,0.0000
0x00445b68,0x00445b68,,,1,0,1,17127,0.0000
0x00480880,0x00480880,,,2,0,2,17127,0.0000
0x00464960,0x00464960,,stub_code,1,4,5,17127,0.0000
0x0026c170,0x0026c170,,,1,0,1,17127,0.0000
0x004d2880,0x004d2880,,stub_code,0,1,1,17127,0.0000
0x0054e690,0x0054e690,,stub_code,0,5,5,17127,0.0000
0x00410ae0,0x00410ae0,,stub_code,2,7,9,17127,75.0000
0x00239db0,0x00239db0,,stub_code,1,1,2,17127,0.0000
0x0026b9d0,0x0026b9d0,,,1,0,1,17127,0.0000
