caller,callee,a0,a1,a2,a3
0x0042a680,0x00429760,ptr,int,own_a2,own_a3
0x0042a7f8,0x004299a0,own_a0,own_a1,own_a2,own_a3
0x0042a818,0x00429c60,ptr,own_a1,own_a2,own_a3
0x0042a818,0x004299a0,ptr,own_a1,own_a2,own_a3
0x0042a818,0x0042a680,ptr,own_a1,own_a2,own_a3
0x0042a818,0x0042a5e8,ptr,int,own_a2,own_a3
0x0042a980,0x0042a818,own_a0,own_a1,own_a2,own_a3
0x0042ab60,0x00429880,ptr,own_a1,own_a2,own_a3
0x0042ac48,0x004297c0,ptr,own_a1,own_a2,own_a3
0x0042acb0,0x00429708,own_a0,own_a0,own_a2,own_a3
0x0042acd0,0x00429c60,ptr,own_a1,own_a2,own_a3
0x0042acd0,0x004299a0,ptr,own_a1,own_a2,own_a3
0x0042acd0,0x0043d0a8,ptr,int,own_a2,own_a3
0x0042ae68,0x0042c280,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042b980,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,int,ptr,ptr
0x0042ae68,0x0042a818,ptr,int,ptr,ptr
0x0042ae68,0x00429fb8,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,int,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042acd0,int,ptr,ptr,ptr
0x0042ae68,0x0042acd0,int,ptr,ptr,ptr
0x0042ae68,0x0042a818,ptr,ptr,ptr,ptr
0x0042ae68,0x0042acd0,ptr,ptr,ptr,ptr
0x0042ae68,0x0042acd0,int,ptr,ptr,ptr
0x0042ae68,0x0042acd0,int,ptr,ptr,ptr
0x0042ae68,0x0042bd98,int,ptr,ptr,ptr
0x0042ae68,0x003fb8d0,int,ptr,ptr,ptr
0x0042ba78,0x00432fc0,own_a0,own_a1,own_a2,own_a3
0x0042bb70,0x00429c60,ptr,own_a1,own_a2,own_a3
0x0042bb70,0x0042bc88,ptr,own_a1,own_a2,own_a3
0x0042bb70,0x004299a0,ptr,own_a1,own_a2,own_a3
0x0042bb70,0x004299a0,ptr,own_a1,own_a2,own_a3
0x0042bc88,0x00429c60,int,own_a1,own_a2,own_a3
0x0042bc88,0x0042a680,int,own_a1,own_a2,own_a3
0x0042bd70,0x00108ee8,own_a0,own_a1,own_a2,own_a3
0x0042bd98,0x0042f100,own_a0,own_a1,own_a2,own_a3
0x0042bdb8,0x004318c0,own_a0,own_a1,own_a2,own_a3
0x0042bfa8,0x00108ee8,ptr,own_a1,own_a2,own_a3
0x0042bfa8,0x0042c098,ptr,own_a1,own_a2,own_a3
0x0042c1c8,0x0042c098,own_a0,own_a1,own_a2,own_a3
0x0042c1e8,0x0042c5c0,own_a0,own_a1,own_a2,own_a3
0x0042c1e8,0x00430000,ptr,own_a1,own_a2,own_a3
0x0042c1e8,0x0042c620,ptr,own_a1,own_a2,own_a3
0x0042c238,0x0042c5c0,own_a0,own_a1,own_a2,own_a3
0x0042c238,0x00430748,ptr,own_a1,own_a2,own_a3
0x0042c238,0x0042c620,ptr,own_a1,own_a2,own_a3
0x0042c280,0x00429068,ptr,own_a1,own_a2,own_a3
0x0042c280,0x00428df8,ptr,int,own_a2,own_a3
0x0042c280,0x00428df8,ptr,int,int,own_a3
0x0042c280,0x00428df8,ptr,int,int,own_a3
0x0042c5c0,0x0043c9d0,own_a0,own_a1,own_a2,own_a3
0x0042c5c0,0x0043cb20,own_a0,own_a1,own_a2,own_a3
0x0042c620,0x0043cb00,ptr,int,own_a2,own_a3
0x0042c660,0x00431130,own_a0,own_a1,own_a2,own_a3
0x0042c660,0x00431130,own_a1,int,int,own_a3
0x0042c740,0x0042c660,int,ptr,own_a2,int
0x0042c740,0x004287e0,int,int,ret_0x0042c660,int
0x0042c740,0x0042c708,int,int,ret_0x0042c660,int
0x0042c848,0x0042c660,own_a0,own_a1,own_a2,int
0x0042c848,0x0042c740,own_a0,own_a1,int,int
0x0042c848,0x0042c740,own_a0,own_a1,int,int
0x0042cac8,0x0042c660,own_a0,own_a1,own_a2,own_a3
