address,name,status,symboled,module,score,leaf_hint,body_bytes,cop2,loops,globals,return_kind,confidence,args,labels,callers,callees,calls_real,stub_frontier,conflicts,hub,hub_dir
0x00433ef0,FUN_00433ef0,real_logic,False,-,12.48,struct_op,324,0,0,0,ptr,0.60,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,3,0x00429068,upstream
0x0042ab60,FUN_0042ab60,real_logic,False,-,11.84,other,242,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
0x0042d680,FUN_0042d680,real_logic,False,-,11.84,other,242,1,0,0,ret,0.45,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,1,1,1,,0,,-
0x00365450,FUN_00365450,real_logic,False,-,11.28,other,264,2,0,0,ptr,0.55,a0=ptr;a1=-;a2=-;a3=-,a0=Unknown_a0_0|a1=ptr|a2=ptr|a3=int|ret=ptr,0,0,0,,1,,-
0x00433090,FUN_00433090,real_logic,False,-,11.12,struct_op,406,0,0,0,ptr,0.60,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,4,0x00429068,upstream
0x00157010,FUN_00157010,real_logic,False,-,10.94,memcmp,247,0,0,0,int,0.70,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_4_8_a4|a1=Unknown_a1_28|ret=int,0,0,0,,0,,
0x00157440,FUN_00157440,real_logic,False,-,10.94,memcmp,247,0,0,0,int,0.70,a0=ptr;a1=ptr;a2=-;a3=-,a0=Unknown_a0_4_8_ac|a1=Unknown_a1_28|ret=int,0,0,0,,0,,
0x0042a5e8,FUN_0042a5e8,real_logic,False,-,10.86,struct_op,243,0,0,0,ret,0.60,a0=ptr;a1=int;a2=-;a3=-,a0=ptr|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
0x0019d330,FUN_0019d330,real_logic,False,-,10.84,setter,342,0,0,0,ptr,0.70,a0=ptr;a1=w;a2=-;a3=-,a0=ptr|ret=ptr,0,0,0,,0,,
0x00429708,FUN_00429708,real_logic,False,-,10.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,2,,-
0x00429760,FUN_00429760,real_logic,False,-,10.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x004297c0,FUN_004297c0,real_logic,False,-,10.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x00429880,FUN_00429880,real_logic,False,-,10.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,0,,-
0x0042c5c0,FUN_0042c5c0,real_logic,False,-,10.28,other,214,1,0,0,ptr,0.55,a0=int;a1=int;a2=int;a3=int,a0=int|a1=int|a2=int|a3=int|ret=ptr,0,0,0,,1,,-
