address,name,symbol,module,status,args,return_kind,accesses,calls,jalr,consts,ptr_derefs,float,cop2,simd,confidence
0x00302dc0,0x00302dc0,0x00302dc0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240;0x00511940,0,,0,0,0,0,0.45
0x00302e40,0x00302e40,0x00302e40,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240;0x00511940,0,,0,0,0,0,0.45
0x00302fd0,0x00302fd0,0x00302fd0,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000;sz 0x2ed0,0,0,0,0,0.55
0x00303020,0x00303020,0x00303020,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004d9c40;0x004ef390;0x004fe2b0;0x00503ab0;0x0050fde0;0x0050fe20;0x0050fea0;0x00510320;0x00510330,0,lui 0x720000;lui 0xbf800000;lui 0x700000;lui 0x640000;sz 0x4;sz 0x8,0,0,0,0,0.45
0x00303740,0x00303740,0x00303740,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000;sz 0x3650,0,0,0,0,0.55
0x00303790,0x00303790,0x00303790,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ef390;0x0050fde0;0x0050fe20;0x0050fea0;0x00510320,0,lui 0x640000;lui 0x700000,0,0,0,0,0.45
0x00303820,0x00303820,0x00303820,,stub_code,a0=int;a1=int;a2=int;a3=int,int,,0x005110e0;0x00511860;0x005118a0;0x00511940,0,lui 0x6d0000;sz 0x18;sz 0x14;sz 0x20;lui 0x720000;sz 0x1c,0,0,0,0,0.55
0x00303a80,0x00303a80,0x00303a80,,stub_code,a0=int;a1=int;a2=int;a3=int,ptr,,0x00510a20,0,lui 0x700000;lui 0x300000;sz 0x3980,0,0,0,0,0.55
0x00303ad0,0x00303ad0,0x00303ad0,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004d9c40;0x0050fde0;0x0050fe20;0x0050fea0;0x00510320,0,lui 0x730000;lui 0x700000;lui 0x640000;lui 0x720000;sz 0x4,0,0,0,0,0.45
0x00303c70,0x00303c70,0x00303c70,,stub_code,a0=ptr;a1=int;a2=-;a3=-,int,a0+0x0:4p;a0+0x1c:4;a0+0x30:4,,1,sz 0x8;sz 0x120;sz 0x24;lui 0xbf800000,2,0,0,0,0.70
0x00303d00,0x00303d00,0x00303d00,,stub_code,a0=int;a1=int;a2=int;a3=int,ret,,0x004ba240,1,,0,0,0,0,0.45
