address,name,status,arg,label_a,label_b,prov_a,prov_b,via,kind
0x003aa9b0,0x003aa9b0,stub_code,a1,Unknown_a1_0_4_8_10_14_18_20_24_28,int,DIRECT,CALL_PROPAGATED,0x003aa620->0x003aa9b0,hard
0x001206c0,0x001206c0,,a3,Unknown_a3_20,Unknown_a3_0_4_8,CALL_PROPAGATED,CALL_PROPAGATED,0x003aaa60->0x001206c0,hard
0x003aa190,0x003aa190,stub_code,a1,int,ptr,DIRECT,CALL_PROPAGATED,0x003aaa60->0x003aa190,ptr_int
0x003aa190,0x003aa190,stub_code,a3,int,ptr,DIRECT,CALL_PROPAGATED,0x003aaa60->0x003aa190,ptr_int
0x003aa620,0x003aa620,stub_code,a1,int,ptr,DIRECT,CALL_PROPAGATED,0x003aaa60->0x003aa620,ptr_int
0x003aa620,0x003aa620,stub_code,a3,int,ptr,DIRECT,CALL_PROPAGATED,0x003aaa60->0x003aa620,ptr_int
0x003ab0a0,0x003ab0a0,stub_code,a2,int,Unknown_a0_4,DIRECT,CALL_PROPAGATED,0x003aae30->0x003ab0a0,hard
0x0035bc90,0x0035bc90,stub_code,a1,int,Unknown_a1_4,DIRECT,CALL_PROPAGATED,0x003ab780->0x0035bc90,hard
0x00396fc0,0x00396fc0,stub_code,a3,int,Unknown_a3_0,DIRECT,CALL_PROPAGATED,0x003ac1d0->0x00396fc0,hard
0x00120780,0x00120780,,a3,Unknown_a3_0_10,Unknown_a3_0,CALL_PROPAGATED,CALL_PROPAGATED,0x003ac1d0->0x00120780,hard
0x003ac360,0x003ac360,stub_code,a0,Unknown_a0_0,int,DIRECT,CALL_PROPAGATED,0x003ac490->0x003ac360,hard
0x0036e250,0x0036e250,,a2,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003ac490->0x0036e250,ptr_int
0x003a8da0,0x003a8da0,stub_code,a1,int,Unknown_a1_4,DIRECT,CALL_PROPAGATED,0x003ac5a0->0x003a8da0,hard
0x003a9120,0x003a9120,stub_code,a1,int,Unknown_a1_4,DIRECT,CALL_PROPAGATED,0x003ac5a0->0x003a9120,hard
0x0034bb20,FUN_0034bb20,real_logic,a1,int,ptr,HEURISTIC,CALL_PROPAGATED,0x003ac800->0x0034bb20,ptr_int
0x0034bb20,FUN_0034bb20,real_logic,a2,int,ptr,CALL_PROPAGATED,CALL_PROPAGATED,0x003ac800->0x0034bb20,ptr_int
0x003ad1e0,0x003ad1e0,stub_code,a0,Unknown_a0_4_8,int,DIRECT,CALL_PROPAGATED,0x003acc50->0x003ad1e0,hard
0x003ad1e0,0x003ad1e0,stub_code,a1,int,Unknown_a1_4,DIRECT,CALL_PROPAGATED,0x003acc50->0x003ad1e0,hard
0x003acda0,0x003acda0,stub_code,a2,Unknown_a2_0,int,DIRECT,CALL_PROPAGATED,0x003acc50->0x003acda0,hard
0x003ab780,0x003ab780,stub_code,a0,int,ptr,DIRECT,RETURN_PROPAGATED,0x003f6030->0x003ab780,ptr_int
0x0035c3f0,FUN_0035c3f0,real_c,a3,int,ptr,CALL_PROPAGATED,CALL_PROPAGATED,0x003ace70->0x0035c3f0,ptr_int
0x003ad430,0x003ad430,stub_code,a0,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003ad1e0->0x003ad430,hard
0x003ad430,0x003ad430,stub_code,a1,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003ad1e0->0x003ad430,hard
0x003ad430,0x003ad430,stub_code,a2,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003ad1e0->0x003ad430,hard
0x0033c170,FUN_0033c170,pseudo_stub,a1,int,Unknown_a1_8,DIRECT,CALL_PROPAGATED,0x003adc80->0x0033c170,hard
0x0033c170,FUN_0033c170,pseudo_stub,a2,int,Unknown_a2_4_8,DIRECT,CALL_PROPAGATED,0x003adc80->0x0033c170,hard
0x0033c120,0x0033c120,stub_code,a0,int,Unknown_a1_8,DIRECT,CALL_PROPAGATED,0x003adc80->0x0033c120,hard
0x0033c120,0x0033c120,stub_code,a1,int,Unknown_a2_4_8,DIRECT,CALL_PROPAGATED,0x003adc80->0x0033c120,hard
0x0033c120,0x0033c120,stub_code,a2,int,Unknown_a2_4_8,DIRECT,CALL_PROPAGATED,0x003adc80->0x0033c120,hard
0x0033baf0,0x0033baf0,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x0033c120->0x0033baf0,ptr_int
0x003ae0e0,FUN_003ae0e0,real_c,a0,ptr,int,STRUCT_FIELD,CALL_PROPAGATED,0x003ae550->0x003ae0e0,ptr_int
0x003adc80,0x003adc80,stub_code,a1,Unknown_a1_8,int,DIRECT,CALL_PROPAGATED,0x003af080->0x003adc80,hard
0x00348e00,0x00348e00,,a0,int,Unknown_a0_0_8,CALL_PROPAGATED,CALL_PROPAGATED,0x003af2f0->0x00348e00,hard
0x00345a10,0x00345a10,,a0,Unknown_a0_0_8,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003af4f0->0x00345a10,hard
0x0034a640,0x0034a640,stub_code,a0,Unknown_a0_0,int,DIRECT,CALL_PROPAGATED,0x003af4f0->0x0034a640,hard
0x00345a10,0x00345a10,,a0,Unknown_a0_0_8,Unknown_a0_10_18,CALL_PROPAGATED,CALL_PROPAGATED,0x003af730->0x00345a10,hard
0x0033f800,0x0033f800,stub_code,a0,int,Unknown_a0_10_18,DIRECT,CALL_PROPAGATED,0x003af730->0x0033f800,hard
0x003b1600,0x003b1600,stub_code,a1,int,Unknown_a1_1c,DIRECT,CALL_PROPAGATED,0x003af8e0->0x003b1600,hard
0x003b1600,0x003b1600,stub_code,a3,int,Unknown_a1_1c,DIRECT,CALL_PROPAGATED,0x003af8e0->0x003b1600,hard
0x0039a6f0,0x0039a6f0,stub_code,a0,ptr,int,STRUCT_FIELD,CALL_PROPAGATED,0x003af8e0->0x0039a6f0,ptr_int
0x0039a6f0,0x0039a6f0,stub_code,a1,int,Unknown_a1_1c,DIRECT,CALL_PROPAGATED,0x003af8e0->0x0039a6f0,hard
0x003b1b20,0x003b1b20,stub_code,a1,Unknown_a1_58,Unknown_a1_70,DIRECT,CALL_PROPAGATED,0x003af920->0x003b1b20,hard
0x00381010,0x00381010,,a1,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003afe10->0x00381010,ptr_int
0x00381010,0x00381010,,a3,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003afe10->0x00381010,ptr_int
0x00345660,0x00345660,,a0,Unknown_a0_4,Unknown_a0_70,CALL_PROPAGATED,CALL_PROPAGATED,0x003afe10->0x00345660,hard
0x0037e3f0,0x0037e3f0,stub_code,a2,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345cc0->0x0037e3f0,ptr_int
0x00359220,0x00359220,,a2,int,ptr,HEURISTIC,RETURN_PROPAGATED,0x00345cc0->0x00359220,ptr_int
0x003b06d0,0x003b06d0,stub_code,a2,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345cc0->0x003b06d0,ptr_int
0x003b0bb0,0x003b0bb0,stub_code,a2,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345cc0->0x003b0bb0,ptr_int
0x00379bc0,0x00379bc0,stub_code,a2,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345cc0->0x00379bc0,ptr_int
0x0013e040,0x0013e040,stub_code,a2,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345cc0->0x0013e040,ptr_int
0x0013e040,0x0013e040,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x003674c0->0x0013e040,ptr_int
0x0013dfd0,0x0013dfd0,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x003674c0->0x0013dfd0,ptr_int
0x003b11f0,0x003b11f0,stub_code,a0,Unknown_a0_0_c,int,DIRECT,CALL_PROPAGATED,0x003b0b40->0x003b11f0,hard
0x0037ae50,0x0037ae50,stub_code,a0,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003b0bb0->0x0037ae50,hard
0x0037ae50,0x0037ae50,stub_code,a1,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003b0bb0->0x0037ae50,hard
0x0037ae50,0x0037ae50,stub_code,a2,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003b0bb0->0x0037ae50,hard
0x003b0c90,0x003b0c90,stub_code,a0,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003b0bb0->0x003b0c90,hard
0x003b0c90,0x003b0c90,stub_code,a1,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003b0bb0->0x003b0c90,hard
0x003b0c90,0x003b0c90,stub_code,a2,int,Unknown_a0_4_8,DIRECT,CALL_PROPAGATED,0x003b0bb0->0x003b0c90,hard
0x0039c4b0,0x0039c4b0,stub_code,a0,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345660->0x0039c4b0,ptr_int
0x0039c4b0,0x0039c4b0,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345660->0x0039c4b0,ptr_int
0x00365080,0x00365080,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x0039c4b0->0x00365080,ptr_int
0x003adaf0,0x003adaf0,stub_code,a2,int,ptr,DIRECT,CALL_PROPAGATED,0x003b1390->0x003adaf0,ptr_int
0x003b2660,0x003b2660,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x00337930->0x003b2660,ptr_int
0x00381000,0x00381000,,a1,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003b1960->0x00381000,ptr_int
0x00381000,0x00381000,,a2,ptr,int,RETURN_PROPAGATED,CALL_PROPAGATED,0x003b1960->0x00381000,ptr_int
0x00381000,0x00381000,,a3,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003b1960->0x00381000,ptr_int
0x003ac5a0,0x003ac5a0,stub_code,a1,Unknown_a1_4,int,DIRECT,CALL_PROPAGATED,0x003b1960->0x003ac5a0,hard
0x003771c0,0x003771c0,stub_code,a0,int,Unknown_a1_58,DIRECT,CALL_PROPAGATED,0x003b1b20->0x003771c0,hard
0x003771c0,0x003771c0,stub_code,a1,int,Unknown_a1_58,DIRECT,CALL_PROPAGATED,0x003b1b20->0x003771c0,hard
0x0043b0b0,0x0043b0b0,,a0,int,Unknown_a0_4,CALL_PROPAGATED,CALL_PROPAGATED,0x003b21e0->0x0043b0b0,hard
0x0043ae78,0x0043ae78,,a0,int,Unknown_a0_4,CALL_PROPAGATED,CALL_PROPAGATED,0x003b21e0->0x0043ae78,hard
0x00345cc0,0x00345cc0,,a0,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003b2390->0x00345cc0,ptr_int
0x00345cc0,0x00345cc0,,a1,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003b2390->0x00345cc0,ptr_int
0x00376d10,0x00376d10,stub_code,a0,int,ptr,DIRECT,CALL_PROPAGATED,0x003b2590->0x00376d10,ptr_int
0x00380f80,0x00380f80,,a0,int,Unknown_a0_70,HEURISTIC,CALL_PROPAGATED,0x003b2600->0x00380f80,hard
0x00380f80,0x00380f80,,a1,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003b2600->0x00380f80,ptr_int
0x00380f80,0x00380f80,,a2,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003b2600->0x00380f80,ptr_int
0x00380f80,0x00380f80,,a3,ptr,int,HEURISTIC,CALL_PROPAGATED,0x003b2600->0x00380f80,ptr_int
0x0033e990,0x0033e990,stub_code,a2,int,ptr,DIRECT,RETURN_PROPAGATED,0x00345660->0x0033e990,ptr_int
0x0043b0b0,0x0043b0b0,,a0,Unknown_a0_4,Unknown_a0_24,CALL_PROPAGATED,CALL_PROPAGATED,0x003b2db0->0x0043b0b0,hard
0x0043ae78,0x0043ae78,,a0,Unknown_a0_4,Unknown_a0_24,CALL_PROPAGATED,CALL_PROPAGATED,0x003b2db0->0x0043ae78,hard
0x003b2ea0,0x003b2ea0,stub_code,a3,int,Unknown_a2_0,DIRECT,CALL_PROPAGATED,0x003b2ea0->0x003b2ea0,hard
0x003b2ea0,0x003b2ea0,stub_code,a0,int,Unknown_a0_44,DIRECT,CALL_PROPAGATED,0x003b39f0->0x003b2ea0,hard
0x003b2ea0,0x003b2ea0,stub_code,a2,Unknown_a2_0,int,DIRECT,CALL_PROPAGATED,0x003b39f0->0x003b2ea0,hard
0x003b50f0,0x003b50f0,stub_code,a3,int,Unknown_a2_0,DIRECT,CALL_PROPAGATED,0x003b50f0->0x003b50f0,hard
0x003b50f0,0x003b50f0,stub_code,a0,int,ptr,DIRECT,CALL_PROPAGATED,0x003b5ce0->0x003b50f0,ptr_int
0x003b50f0,0x003b50f0,stub_code,a2,Unknown_a2_0,int,DIRECT,CALL_PROPAGATED,0x003b5ce0->0x003b50f0,hard
0x003b5d40,0x003b5d40,stub_code,a0,int,Unknown_a0_0,DIRECT,CALL_PROPAGATED,0x003b6850->0x003b5d40,hard
0x003b5d40,0x003b5d40,stub_code,a2,Unknown_a2_0,int,DIRECT,CALL_PROPAGATED,0x003b6850->0x003b5d40,hard
0x003b6920,0x003b6920,stub_code,a0,int,Unknown_a0_0,DIRECT,CALL_PROPAGATED,0x003b71a0->0x003b6920,hard
0x003b6920,0x003b6920,stub_code,a2,Unknown_a2_0,int,DIRECT,CALL_PROPAGATED,0x003b71a0->0x003b6920,hard
0x003b7900,0x003b7900,stub_code,a0,Unknown_a0_0,Unknown_a0_0_4_8,DIRECT,CALL_PROPAGATED,0x003b72a0->0x003b7900,hard
0x003b7900,0x003b7900,stub_code,a1,int,Unknown_a0_0_4_8,DIRECT,CALL_PROPAGATED,0x003b72a0->0x003b7900,hard
0x003b7900,0x003b7900,stub_code,a2,int,Unknown_a0_0_4_8,DIRECT,CALL_PROPAGATED,0x003b72a0->0x003b7900,hard
0x003b7900,0x003b7900,stub_code,a3,int,Unknown_a0_0_4_8,DIRECT,CALL_PROPAGATED,0x003b72a0->0x003b7900,hard
0x0033c120,0x0033c120,stub_code,a0,int,Unknown_a0_4,DIRECT,CALL_PROPAGATED,0x003b7970->0x0033c120,hard
0x0033eaf0,0x0033eaf0,,a0,Unknown_a0_0,Unknown_a0_4,CALL_PROPAGATED,CALL_PROPAGATED,0x003b7970->0x0033eaf0,hard
0x0033c170,FUN_0033c170,pseudo_stub,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x0033eaf0->0x0033c170,ptr_int
0x003b8400,0x003b8400,stub_code,a2,int,ptr,DIRECT,CALL_PROPAGATED,0x003b7f50->0x003b8400,ptr_int
0x003b7e50,0x003b7e50,,a0,ptr,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003b8710->0x003b7e50,ptr_int
0x003b7e50,0x003b7e50,,a2,ptr,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003b8710->0x003b7e50,ptr_int
0x003b8580,0x003b8580,,a2,ptr,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003b8710->0x003b8580,ptr_int
0x003b8520,0x003b8520,,a2,ptr,int,CALL_PROPAGATED,CALL_PROPAGATED,0x003b8710->0x003b8520,ptr_int
0x003b9290,0x003b9290,stub_code,a0,int,ptr,DIRECT,CALL_PROPAGATED,0x003b8b20->0x003b9290,ptr_int
0x003b9860,0x003b9860,,a0,int,ptr,CALL_PROPAGATED,CALL_PROPAGATED,0x003b8b20->0x003b9860,ptr_int
0x003b99c0,0x003b99c0,stub_code,a0,int,ptr,DIRECT,CALL_PROPAGATED,0x003b8b20->0x003b99c0,ptr_int
0x003b72a0,0x003b72a0,stub_code,a0,Unknown_a0_0_4_8,Unknown_a0_c,DIRECT,CALL_PROPAGATED,0x003b91c0->0x003b72a0,hard
0x003b72a0,0x003b72a0,stub_code,a1,int,Unknown_a1_10,DIRECT,CALL_PROPAGATED,0x003b91c0->0x003b72a0,hard
0x003b72a0,0x003b72a0,stub_code,a1,int,ptr,DIRECT,RETURN_PROPAGATED,0x003b72a0->0x003b72a0,ptr_int
