address,name,score,leaf,asm,sheet,body,REV
0x0026d960,FUN_0026d960,11.64,,1,1,,
0x00365450,FUN_00365450,11.28,other,1,1,1,
0x001a1800,FUN_001a1800,11.12,,1,1,,
0x00433090,FUN_00433090,11.12,struct_op,1,1,1,
0x00157010,FUN_00157010,10.94,memcmp,1,1,1,
0x00157440,FUN_00157440,10.94,memcmp,1,1,1,
0x0042a5e8,FUN_0042a5e8,10.86,struct_op,1,1,1,
0x0019d330,FUN_0019d330,10.84,setter,1,1,1,
0x00429708,FUN_00429708,10.28,other,1,1,1,
0x00429760,FUN_00429760,10.28,other,1,1,1,
0x004297c0,FUN_004297c0,10.28,other,1,1,1,
0x00429880,FUN_00429880,10.28,other,1,1,1,
0x0042c5c0,FUN_0042c5c0,10.28,other,1,1,1,
0x0042c660,FUN_0042c660,10.28,other,1,1,1,
0x0042bfa8,FUN_0042bfa8,10.26,other,1,1,1,
0x0042c740,FUN_0042c740,10.26,other,1,1,1,
0x0047f4a0,FUN_0047f4a0,10.04,convert,1,1,1,
0x005ec0a0,FUN_005ec0a0,10.04,,1,1,,
0x005ed330,FUN_005ed330,10.04,,1,1,,
0x0046c500,FUN_0046c500,10.02,convert,1,1,1,
0x00429ef0,FUN_00429ef0,9.88,thunk,1,1,1,
0x0042f100,FUN_0042f100,9.88,thunk,1,1,1,
0x003ec660,FUN_003ec660,9.74,,1,1,,
0x0058d7c0,FUN_0058d7c0,9.6,,1,1,,
0x00197870,FUN_00197870,9.52,convert,1,1,1,
0x0042cb00,FUN_0042cb00,9.18,other,1,1,1,
0x00432588,FUN_00432588,9.16,other,1,1,1,
0x00429de0,FUN_00429de0,8.96,other,1,1,1,
0x0042cd18,FUN_0042cd18,8.96,other,1,1,1,
0x0028b3f0,FUN_0028b3f0,8.92,memcmp,1,1,1,
0x0042c1c8,FUN_0042c1c8,8.84,other,1,1,1,
0x0042f638,FUN_0042f638,8.44,thunk,1,1,1,
0x0042f130,FUN_0042f130,8.24,struct_op,1,1,1,
0x00154d50,FUN_00154d50,7.96,convert,1,1,1,
0x0042ba78,FUN_0042ba78,7.96,thunk,1,1,1,
0x00161de0,FUN_00161de0,7.66,other,1,1,1,
0x00430748,FUN_00430748,7.6,other,1,1,1,
0x0042d3d0,FUN_0042d3d0,7.3,other,1,1,1,
0x00120750,FUN_00120750,7.28,other,1,1,1,
0x001207c0,FUN_001207c0,7.28,other,1,1,1,
0x00136110,FUN_00136110,7.28,other,1,1,1,
0x00423d80,FUN_00423d80,7.28,other,1,1,1,
0x00429820,FUN_00429820,7.28,other,1,1,1,
0x004298e0,FUN_004298e0,7.28,other,1,1,1,
0x00429940,FUN_00429940,7.28,other,1,1,1,
0x00429b08,FUN_00429b08,7.28,other,1,1,1,
0x00429b80,FUN_00429b80,7.28,other,1,1,1,
0x0042acd0,FUN_0042acd0,7.28,other,1,1,1,
0x0042bb70,FUN_0042bb70,7.28,other,1,1,1,
0x0042c1e8,FUN_0042c1e8,7.28,other,1,1,1,
0x0042c238,FUN_0042c238,7.28,other,1,1,1,
0x0042fb10,FUN_0042fb10,7.28,other,1,1,1,
0x00431488,FUN_00431488,7.28,other,1,1,1,
0x0040f030,FUN_0040f030,7.26,convert,1,1,1,
0x00530080,FUN_00530080,7.24,,1,1,,
0x0033a050,FUN_0033a050,7.2,other,1,1,1,
0x00428630,FUN_00428630,6.88,thunk,1,1,1,
0x00429f10,FUN_00429f10,6.88,thunk,1,1,1,
0x0042a7f8,FUN_0042a7f8,6.88,thunk,1,1,1,
0x0042acb0,FUN_0042acb0,6.88,thunk,1,1,1,
0x0042bd98,FUN_0042bd98,6.88,thunk,1,1,1,
0x0042d6b0,FUN_0042d6b0,6.88,thunk,1,1,1,
0x00433ec0,FUN_00433ec0,6.88,thunk,1,1,1,
0x0042bd70,FUN_0042bd70,6.68,thunk,1,1,1,
0x0016a110,FUN_0016a110,6.62,convert,1,1,1,
0x00540780,FUN_00540780,6.34,setter,1,1,1,
0x00404e80,FUN_00404e80,6.18,memcmp,1,1,1,
0x001238d0,FUN_001238d0,6.16,setter,1,1,1,
0x001ca130,FUN_001ca130,6.16,setter,1,1,1,
0x001ccb00,FUN_001ccb00,6.16,setter,1,1,1,
0x001dbea0,FUN_001dbea0,6.16,setter,1,1,1,
0x001df840,FUN_001df840,6.16,setter,1,1,1,
0x001dfdb0,FUN_001dfdb0,6.16,setter,1,1,1,
0x001e0050,FUN_001e0050,6.16,setter,1,1,1,
0x0042d770,FUN_0042d770,6.16,struct_op,1,1,1,
0x00430000,FUN_00430000,6.16,struct_op,1,1,1,
0x00431920,FUN_00431920,6.16,struct_op,1,1,1,
0x0042ae68,FUN_0042ae68,6.08,struct_op,1,1,1,
0x0042c280,FUN_0042c280,5.98,struct_op,1,1,1,
0x0042c848,FUN_0042c848,5.98,struct_op,1,1,1,
0x00134ec0,FUN_00134ec0,5.96,memcmp,1,1,1,
0x0031c990,FUN_0031c990,5.96,struct_op,1,1,1,
0x001963d0,FUN_001963d0,5.6,convert,1,1,1,
0x0010c820,FUN_0010c820,5.52,convert,1,1,1,
0x003f5b50,FUN_003f5b50,5.5,convert,1,1,1,
0x0015ba30,FUN_0015ba30,5.48,,1,1,,
0x001acde0,FUN_001acde0,5.48,setter,1,1,1,
0x001b82f0,FUN_001b82f0,5.48,setter,1,1,1,
0x001c3470,FUN_001c3470,5.48,setter,1,1,1,
0x001cad90,FUN_001cad90,5.48,setter,1,1,1,
0x001cf680,FUN_001cf680,5.48,setter,1,1,1,
0x001cf6f0,FUN_001cf6f0,5.48,convert,1,1,1,
0x0013e950,FUN_0013e950,5.26,predicate,1,1,1,
0x0043f5b8,FUN_0043f5b8,5.2,getter,1,1,1,
0x00108ee8,FUN_00108ee8,5.14,thunk,1,1,1,
0x002470e0,FUN_002470e0,4.92,struct_op,1,1,1,
0x003ee2e0,FUN_003ee2e0,4.92,struct_op,1,1,1,
0x003eea70,FUN_003eea70,4.92,struct_op,1,1,1,
0x001f4e00,FUN_001f4e00,4.88,struct_op,1,1,1,
0x002366c0,FUN_002366c0,4.88,struct_op,1,1,1,
0x003eddf0,FUN_003eddf0,4.88,struct_op,1,1,1,
0x003ef2b0,FUN_003ef2b0,4.88,struct_op,1,1,1,
0x003ef8c0,FUN_003ef8c0,4.88,struct_op,1,1,1,
0x003efc30,FUN_003efc30,4.88,struct_op,1,1,1,
0x003f00a0,FUN_003f00a0,4.88,struct_op,1,1,1,
0x003f0810,FUN_003f0810,4.88,struct_op,1,1,1,
0x003f0d60,FUN_003f0d60,4.88,struct_op,1,1,1,
0x003f1430,FUN_003f1430,4.88,struct_op,1,1,1,
0x0042bde0,FUN_0042bde0,4.88,struct_op,1,1,1,
0x0042f158,FUN_0042f158,4.88,struct_op,1,1,1,
0x0042fd98,FUN_0042fd98,4.88,struct_op,1,1,1,
0x0058ab30,FUN_0058ab30,4.88,struct_op,1,1,1,
0x003bff30,FUN_003bff30,4.86,struct_op,1,1,1,
0x0040b3e0,FUN_0040b3e0,4.86,struct_op,1,1,1,
0x0042cfe0,FUN_0042cfe0,4.86,struct_op,1,1,1,
0x0042f750,FUN_0042f750,4.86,struct_op,1,1,1,
0x0044fcb0,FUN_0044fcb0,4.86,struct_op,1,1,1,
0x00551a70,FUN_00551a70,4.44,memcmp,1,1,1,
0x004285f0,FUN_004285f0,4.3,struct_op,1,1,1,
0x0042ce18,FUN_0042ce18,4.3,struct_op,1,1,1,
0x0043cb00,FUN_0043cb00,4.06,struct_op,1,1,1,
0x0042bdb8,FUN_0042bdb8,3.88,thunk,1,1,1,
0x00432e90,FUN_00432e90,3.88,thunk,1,1,1,
0x0016b030,FUN_0016b030,3.86,convert,1,1,1,
0x00530050,FUN_00530050,3.62,,1,1,,
0x0019a560,FUN_0019a560,3.44,convert,1,1,1,
0x00115430,FUN_00115430,3.34,convert,1,1,1,
0x00195cd0,FUN_00195cd0,2.52,convert,1,1,1,
0x0053fd80,FUN_0053fd80,2.34,getter,1,1,1,1
0x0023e070,FUN_0023e070,2.22,convert,1,1,1,
0x00337690,FUN_00337690,2.14,thunk,1,1,1,
0x0018ddc0,FUN_0018ddc0,1.68,getter,1,1,1,
0x0040a820,FUN_0040a820,1.6,struct_op,1,1,1,
0x00115460,FUN_00115460,1.06,struct_op,1,1,1,
0x004450e0,FUN_004450e0,1.06,struct_op,1,1,1,
