address,name,module,status,arg,label,provenance,confidence,hops,vias
0x00101f40,0x00101f40,,stub_code,a2,int,DIRECT,0.50,1,-;0x00410740->0x00101f40;0x00411170->0x00101f40;0x00411560->0x00101f40;0x00412160->0x00101f40;0x0041cda0->0x00101f40;0x00424d70->0x00101f40
0x00101f40,0x00101f40,,stub_code,a3,int,DIRECT,0.50,2,-;0x00105940->0x00101f40;0x0040f860->0x00101f40;0x0040fc00->0x00101f40;0x0040ffb0->0x00101f40;0x00410370->0x00101f40;0x00410740->0x00101f40;0x00411980->0x00101f40;0x00411d60->0x00101f40;0x0041cda0->0x00101f40;0x00424d70->0x00101f40
0x00101f40,0x00101f40,,stub_code,ret,int,DIRECT,0.70,0,-
0x00102510,0x00102510,,stub_code,a0,int,DIRECT,0.50,0,-
0x00102510,0x00102510,,stub_code,a1,int,DIRECT,0.50,0,-
0x00102510,0x00102510,,stub_code,a2,int,DIRECT,0.50,0,-
0x00102510,0x00102510,,stub_code,a3,int,DIRECT,0.50,0,-
0x00102510,0x00102510,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00102540,0x00102540,,stub_code,a0,int,DIRECT,0.50,1,-;0x00102510->0x00102540
0x00102540,0x00102540,,stub_code,a1,int,DIRECT,0.50,1,-;0x00102510->0x00102540
0x00102540,0x00102540,,stub_code,a2,int,DIRECT,0.50,1,-;0x00102510->0x00102540
0x00102540,0x00102540,,stub_code,a3,int,DIRECT,0.50,1,-;0x00102510->0x00102540
0x00102540,0x00102540,,stub_code,ret,ptr,RETURN_PROPAGATED,0.70,0,-
0x00102740,0x00102740,,stub_code,a0,int,DIRECT,0.50,0,-
0x00102740,0x00102740,,stub_code,a1,int,DIRECT,0.50,0,-
0x00102740,0x00102740,,stub_code,a2,int,DIRECT,0.50,0,-
0x00102740,0x00102740,,stub_code,a3,int,DIRECT,0.50,0,-
0x00102740,0x00102740,,stub_code,ret,int,DIRECT,0.70,0,-
0x00102850,0x00102850,,,a0,int,CALL_PROPAGATED,0.42,1,0x00102740->0x00102850
0x00102850,0x00102850,,,a1,int,CALL_PROPAGATED,0.42,1,0x00102740->0x00102850
0x00102850,0x00102850,,,a2,int,CALL_PROPAGATED,0.42,1,0x00102740->0x00102850
0x00102850,0x00102850,,,a3,int,CALL_PROPAGATED,0.42,1,0x00102740->0x00102850
0x00102af0,0x00102af0,,stub_code,a0,int,DIRECT,0.50,0,-
